N1_Ori,N2_Ori,N3_Ori,N4_Ori,N5_Ori,N6_Ori
6871,6888,6864,7030,7072,7023
6782,6846,6854,7070,7089,7056
6861,6882,6948,7110,7149,7071
6848,6871,6982,7067,7132,7111
6886,6913,7087,7033,7054,7108
6873,6899,7121,6997,7194,7093
6872,6912,7120,7082,7258,7157
6786,6916,7119,7091,7202,7160
6819,6959,7069,7110,7141,7120
6870,6947,7078,7061,7160,7151
6919,7002,7244,6994,7163,7165
6879,6952,7142,7027,7173,7145
6945,6990,7143,7043,7153,7145
6946,6987,7090,7027,7182,7125
6967,6975,7030,7030,7121,7065
6946,6972,6971,7009,7052,7035
6986,7019,7051,7049,7142,7055
7015,7022,7097,6994,7130,7065
7036,7053,7076,7003,7089,7005
7027,7070,7059,6994,6995,6955
7045,7091,7016,7000,6993,6885
7088,7130,6909,6997,7003,6955
7068,7110,6878,6991,6971,6815
7100,7171,6839,6997,7024,6915
7031,7105,6874,7033,7029,6975
7027,7057,6984,7052,7024,6955
6954,7004,7020,7049,7010,6975
6967,7037,6954,7027,7076,6995
7039,7056,6904,7027,7034,6975
7063,7080,6938,6994,7113,7005
7089,7145,7002,7003,7050,6975
7074,7110,6935,7009,6968,6915
7078,7138,6872,6985,7022,6965
7166,7189,6807,6905,6974,6885
7090,7133,6750,6912,6988,6879
7003,7093,6780,6972,7007,6907
7007,7097,6871,6979,7013,6956
7039,7071,6907,6979,6987,6916
7002,7040,6842,6927,7043,6849
6991,7013,6782,6924,7084,6983
7045,7047,6842,6945,7135,7078
7084,7115,6899,6939,7162,7084
7111,7157,6842,6930,7037,6998
7151,7158,6861,6939,7057,6977
7159,7148,6829,6887,6974,6956
7229,7124,6764,6805,6956,6831
7211,7156,6687,6802,6969,6843
7132,7033,6676,6881,7005,6892
7092,7065,6704,6921,7043,6992
7026,7018,6868,6960,7059,7032
6989,7011,7070,6951,7068,6998
6946,7015,7063,6982,6991,7011
6986,7034,6982,7000,7047,6983
6958,7032,6946,7021,7109,7026
7017,7058,6991,7058,7110,6959
7019,7075,7043,7088,7066,6956
7092,7123,6911,6988,7034,6892
7092,7130,6850,6908,6934,6849
7074,7119,6835,6896,6936,6954
7025,7110,6825,6948,6953,6879
7031,7087,6912,6988,6955,6928
7034,7063,6862,7000,7011,6959
6999,7032,6845,6988,7072,7065
6957,6989,6854,7015,7145,7117
7015,7046,6877,7040,7150,7129
7038,7089,6858,7027,7149,7151
7062,7082,6930,6997,7121,7117
7038,7086,6932,7009,7070,7056
7062,7075,6867,6969,7041,7020
7035,7083,6794,6930,7041,7029
7016,7099,6785,6985,7058,7026
6945,7027,6799,7006,7046,7056
6979,7035,6847,7006,7068,7084
6989,7042,6874,7055,7114,7093
6988,7015,6826,7055,7165,7111
7004,7020,6890,7011,7141,7145
7072,7069,6937,7015,7216,7196
7119,7104,6964,6984,7168,7135
7106,7167,6909,6985,7142,7126
7144,7128,6958,6961,7073,7044
7140,7130,6921,6919,6844,6904
7145,7177,6804,6891,6992,6956
7122,7200,6744,6903,6931,6931
7035,7119,6712,6933,6909,6883
6995,7063,6751,7033,6937,6907
6966,7043,6832,7080,6895,6965
6990,7025,6881,7088,6995,7007
6974,7006,6913,7040,7043,7111
6971,7018,6957,7053,7101,7163
6961,7023,7004,7037,7118,7139
6928,6995,6982,7055,7089,7108
7000,7035,6997,7029,7005,7096
6969,7045,6989,6998,6955,7078
6999,7051,6954,6975,6983,7071
6996,7079,6877,6953,7032,7078
6994,7052,6876,7059,7075,7148
6933,7042,7001,7057,7040,7150
6941,7014,7115,7042,7085,7157
6986,7017,6824,7068,7134,7163
6964,7003,6826,7059,7116,7191
6988,7008,6927,7058,7142,7227
7029,7038,7013,7063,7142,7192
6996,7061,7040,7107,7092,7161
7028,7053,7047,7125,7082,7097
7021,7071,7023,7075,7033,7047
7067,7113,6964,7021,6999,6919
7088,7150,6780,6964,6930,6940
7039,7120,6843,7055,6946,7016
7081,7181,6738,7100,6998,7064
7118,7112,6776,7017,6954,7055
7109,7096,6804,6959,6931,6984
7184,7038,6811,6921,6901,6954
7125,7033,6823,6921,6951,6964
7240,7115,6860,6879,6982,6947
7284,7189,6842,6816,6954,6875
7308,7160,6805,6844,6930,6883
7208,7065,6728,6793,6858,6828
7138,7010,6755,6804,6849,6773
7026,7000,6675,6816,6921,6861
6923,6991,6671,6880,6948,6892
6894,7024,6805,7002,6945,6928
6851,6993,7019,6993,6955,6883
6830,6945,7104,7054,7013,6989
6821,6916,7163,7111,7093,7163
6785,6886,7204,7108,7124,7190
6804,6900,7211,7080,7146,7200
6880,6939,7232,7049,7130,7176
6819,6895,7206,7099,7097,7125
6867,6933,7149,7041,7088,7081
6923,7007,7089,7017,7032,7023
6876,6953,7143,7035,7142,7185
6847,6933,7099,7035,7139,7187
6858,6991,7095,7079,7161,7201
6832,6950,7028,7120,7155,7235
6858,6964,7041,7111,7144,7215
6958,6967,7149,7066,7113,7178
6982,6975,7216,7079,7178,7185
6978,7004,7158,7037,7162,7195
6967,6996,7150,7004,7127,7135
6995,7019,7155,7053,7094,7126
6953,7033,7119,7089,7092,7060
6984,7032,7054,7043,7081,7125
6964,7034,7033,7040,7061,7117
6925,7007,7065,7034,7094,7117
6900,6992,7020,7114,7101,7146
6934,6988,6959,7112,7089,7152
6958,6975,6970,7149,7110,7229
7009,7008,7004,7139,7180,7214
7019,7035,7121,7089,7236,7268
7073,7063,7227,7054,7224,7236
7075,7083,7191,7008,7130,7193
7034,7069,7125,7081,7144,7169
7036,7066,7038,7048,7092,7120
6994,7067,6981,7076,7053,7110
6991,7031,6971,6998,7068,7121
6942,6999,7061,7043,7108,7150
6971,7052,7026,7098,7095,7135
7002,7024,7130,7150,7162,7166
6990,7029,7131,7121,7159,7178
7012,7039,7109,7110,7138,7238
7069,7060,7076,7080,7118,7190
7032,6930,7128,7053,7193,7180
7100,7123,7126,7010,7091,7123
7041,7043,7084,7023,7058,7085
7053,7114,7034,7020,6999,7114
7078,7093,6916,7004,7073,7066
7085,7033,6855,6993,6956,7040
7019,7103,6858,6994,7110,7074
7027,7071,6954,7033,7149,7124
7013,7043,6908,7043,7152,7152
6988,7050,6869,7058,7154,7166
7053,7119,6967,7050,7188,7230
7106,7120,6997,7005,7228,7224
7144,7010,7012,6966,7178,7178
7221,7175,6953,6904,7058,7062
7236,7248,6875,6932,6956,6987
7202,7222,6813,6922,6989,6954
7164,7250,6739,6876,6964,6832
7051,7090,6770,6939,7006,6973
7054,7160,6766,7031,6969,7019
6962,7069,6770,7075,6950,6971
6951,7120,6961,7129,6973,6967
6935,7071,7016,7141,7107,7164
6994,7102,6950,7076,7085,7126
7008,7091,6941,7091,7130,7163
7082,7133,6992,7091,7152,7226
7207,7222,7021,7045,7137,7189
7086,7061,7018,7043,7127,7137
7089,7171,6969,7000,7078,7086
7044,7138,6921,7009,7021,7061
7085,6934,6831,7004,7008,7054
6973,7046,6843,7049,7049,7094
6993,7080,6799,7088,7130,7161
7023,7124,6789,7106,7171,7196
7018,7055,6807,7104,7085,7203
7030,7090,6888,7123,7155,7147
7130,7145,6853,7092,7130,7100
7089,7140,6976,7033,6909,6815
7153,7167,6995,7012,7032,7032
7090,7149,6999,7016,7018,7051
7131,7161,6977,7032,7001,7012
7111,7170,6894,6984,6955,6956
7064,7133,6840,6988,6946,6947
7122,7250,6807,7007,6969,6913
7071,7133,6888,7021,7055,7048
6978,7045,6865,7086,7092,7174
7008,7073,6925,7133,7162,7207
6981,7031,7152,7084,7180,7232
6995,7057,7143,7104,7155,7240
7020,7091,7036,7077,7164,7188
7033,7067,7119,7081,7082,7142
7064,7087,7067,7103,7114,7164
7015,7107,7006,7099,7085,7131
6997,7063,6956,7078,7005,7130
6932,7052,6923,7115,7082,7126
6918,7048,6958,7128,7092,7148
6976,7059,7151,7146,7131,7217
7001,7052,7067,7131,7226,7239
6989,7046,7129,7116,7228,7263
7014,7049,7121,7089,7235,7259
7061,7088,7102,7050,7138,7257
7112,7140,7024,7050,7146,7184
7122,7140,6982,7040,7180,7199
7107,7171,6963,7025,7043,7131
7162,7186,6944,7004,7038,7078
7081,7119,6876,6955,7102,7093
7012,7122,6835,7010,7045,7048
7000,7090,6806,7065,7050,7098
6932,7035,6829,7122,7097,7060
6842,7048,6880,7177,7062,7093
6867,7040,6872,7211,7121,7155
6916,7020,6913,7192,7205,7220
6955,7035,6888,7176,7228,7264
6966,7058,7025,7140,7223,7245
6941,7051,7162,7142,7197,7191
6960,7050,7126,7153,7138,7184
6936,7053,7107,7113,7173,7183
6985,7066,7075,7083,7169,7198
6868,7025,7075,7114,7114,7178
6925,7014,7201,7105,7205,7237
6946,7010,7087,7100,7191,7265
6956,7005,7043,7109,7198,7276
6955,6993,7065,7101,7247,7271
6960,6995,7115,7093,7256,7295
6967,6989,7171,7089,7244,7264
7087,7029,7184,7094,7276,7277
6993,7027,7189,7075,7244,7255
7057,7056,7162,7051,7174,7235
6971,7015,7123,7120,7149,7226
6935,7026,7152,7049,7190,7219
6993,7051,7103,7038,7163,7221
6943,7024,7077,7079,7193,7252
6974,7032,7053,7113,7183,7237
6999,7049,7122,7076,7163,7226
7040,7055,7146,7061,7170,7209
7056,7059,7151,7057,7187,7211
7075,7092,7123,7072,7210,7235
7125,7158,7088,7052,7164,7176
7111,7168,7108,7031,7177,7147
7192,7183,6996,6996,6976,7087
7190,7170,6886,6994,6988,7050
7210,7183,6782,7027,7078,7057
7153,7175,6784,7032,7041,7056
7201,7183,6770,7058,7050,7084
7037,7061,6847,7033,7082,7120
6971,7039,7006,7133,7071,7100
6910,6996,7091,7129,7131,7137
6894,6965,7195,7134,7092,7159
6936,6985,7205,7116,7082,7194
6874,6965,7195,7111,7162,7201
6900,6956,7127,7122,7131,7211
6923,7019,7132,7126,7121,7208
6933,7010,7138,7114,7109,7155
6947,7023,7135,7062,7120,7189
6957,7041,7107,7090,7109,7170
6973,7059,7131,7111,7092,7194
6990,7024,7197,7148,7114,7160
6999,7043,7065,7096,7104,7170
6979,7032,6970,7113,7178,7133
6954,7022,6949,7117,7145,7188
7032,7039,7067,7146,7264,7302
7008,7065,7163,7123,7125,7219
6982,7026,7204,7087,7156,7185
6987,7043,7163,7118,7152,7195
7022,7066,7133,7027,7120,7140
6970,7046,7112,7084,7060,7112
6939,7059,7080,7087,7048,7175
6960,7016,7070,7137,7094,7240
6964,7048,7100,7179,7137,7282
7023,7087,7065,7189,7165,7249
7014,7124,7075,7160,7176,7257
7034,7090,7172,7177,7180,7240
7071,7096,7193,7185,7231,7260
7108,7112,7216,7159,7264,7235
7073,7065,7166,7147,7225,7250
7114,7161,7124,7103,7107,7116
7082,7130,7070,7097,7088,7165
7081,7171,7079,7097,7100,7185
7040,7029,7063,7096,7140,7188
7030,7073,7047,7082,7179,7213
6962,7035,7074,7090,7153,7203
6972,7102,7145,7159,7190,7227
6982,7102,7151,7134,7193,7235
7014,7091,7257,7151,7169,7278
7052,7090,7245,7112,7246,7302
7071,7087,7181,7106,7217,7299
7064,7123,7211,7120,7235,7251
7080,7127,7140,7086,7148,7162
7124,7161,7081,7056,7113,7164
7054,7061,7068,7055,7054,7139
7039,7157,7022,7059,7103,7152
7140,7115,6929,7110,7108,7176
7207,7160,6939,7120,7034,7126
7107,7167,6956,7098,7146,7200
7094,7158,7017,7052,7131,7155
7041,7114,6982,7082,7176,7252
7081,7094,7007,7073,7180,7204
7167,7195,7027,7041,7130,7108
7153,7065,7013,7053,7142,7115
7146,7183,6974,7071,7042,7018
7149,7120,6964,6978,7013,7022
7147,7145,6942,6952,7102,7066
7135,7204,6883,6989,7099,7075
7146,7175,6844,7034,7060,7069
7192,7170,6810,7034,7055,7059
7172,7170,6814,7048,7052,7009
7144,7175,6789,7012,7129,7081
6946,7041,6822,7016,7154,7135
7156,7161,6848,6942,7154,7139
7284,7252,6823,6909,6976,6976
7284,7287,6859,6888,7084,7005
7236,7300,6836,6861,7043,6886
7236,7248,6794,6842,7024,6944
7172,7222,6785,6873,6841,6881
7192,7174,6723,6855,6914,6882
7111,7150,6731,6964,6914,6970
7023,7136,6821,7062,6950,6978
6966,7091,6998,7108,6976,6991
6971,7042,7197,7102,7029,7076
6918,7065,7126,7140,7029,7135
7059,7037,7125,7165,7093,7132
6955,7056,7170,7151,7120,7167
6963,7048,7192,7184,7109,7133
6851,7037,7205,7196,7060,7151
6943,7066,6858,7106,7013,7107
7041,7090,7034,7024,7013,7075
7030,7109,7085,7064,7038,7091
7009,7114,6998,7082,6999,7104
7012,7093,6993,7101,7059,7137
7007,7122,6963,7126,7137,7173
7027,7067,6983,7141,7099,7222
7020,7054,7005,7112,7154,7229
7035,7079,7040,7107,7226,7246
7017,7114,7065,7151,7317,7314
7003,7069,7149,7140,7217,7246
6993,7089,7174,7176,7186,7200
7033,7133,7138,7166,7159,7152
7052,7136,7042,7099,7151,7165
7042,7094,6969,7156,7200,7173
7022,7160,6945,7158,7181,7198
7084,7160,7101,7139,7224,7233
7076,7127,6993,7082,7215,7207
7095,7124,6904,7033,7200,7160
7077,7093,6922,6993,7178,7164
7118,7138,6970,6980,7200,7163
7161,7204,7004,6995,7169,7149
7166,7210,6989,7044,7086,7118
7203,7215,6934,7096,7011,6995
7173,7193,6827,7022,6973,6933
7158,7195,6819,6963,6984,6966
